# last_updated=2025-04-08 16:57:29,record_count=2
offer_id,offer_url,title,updated_time,price_change,days_active,price,cian_estimation,price_difference,price_info,address,metro_station,neighborhood,district,description,status,unpublished_date,price_difference_value,price_change_value,distance,price_change_formatted,outside_distance
315643332,https://www.cian.ru/rent/flat/315643332/,"1-комн. квартира, 33 м², 3/9 этаж",2025-04-07 22:17:00,From 65 000 to 64 000 (-1 000 ₽),0,64 000 ₽/мес.,64 000 ₽/мес,0 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 50%, залог 65 000 ₽","Большой Саввинский переулок, 19",м. Спортивная,р-н Хамовники,ЦАО,"Сдается ОТЛИЧНАЯ, очень уютная, теплая квартира.  Имеется ВСЯ мебель и бытовая техника: встроенный кухонный гарнитур, посудомоечная машина, холодильник, стиральная машина. Двуспальная кровать, НОВЫЙ матрас, шкафы для одежды, имеется шкаф с зеркалом. Балкон застеклен. Развитая инфраструктура района. Звоните! Звоните!",active,--,0.0,-1000.0,0.47,-1 000 ₽/мес.,
314533727,https://www.cian.ru/rent/flat/314533727/,"1-комн. квартира, 30 м², 2/11 этаж",2025-03-05 00:00:00,,34,60 000 ₽/мес.,68 000 ₽/мес,8 000 ₽/мес.,"От года, комм. платежи включены (без счётчиков), комиссия 70%, залог 60 000 ₽","Несвижский переулок, 10",м. Фрунзенская,р-н Хамовники,ЦАО,"Номер лота: 3205360
ЦЕНТР МОСКВЫ. Сдается однокомнатная квартира. Кухонный гарнитур, вся бытовая техника. От метро 5 минут пешком. Рядом Усадьба Трубецких, Парк Горького, Нескучный сад, Фрунзенская набережная. Вся инфраструктура района: магазины, кафе, рестораны, школы.

 ИНКОМ-Парк Культуры.",non active,2025-04-06 13:18:00,8000.0,,1.33,new,
