offer_id,layout,apartment_type,total_area,living_area,kitchen_area,ceiling_height,bathroom,balcony,sleeping_places,renovation,view
314317233,,Апартаменты,15 м²,,,,1 совмещенный,,,Дизайнерский,Во двор
314237628,,,50 м²,33 м²,8 м²,"2,8 м",1 раздельный,1 балкон,,Евроремонт,На улицу
314094610,,,"39,7 м²",19 м²,10 м²,,1 раздельный,1 балкон,,Евроремонт,На улицу и двор
314011077,,,47 м²,,,"2,7 м",,,,Косметический,На улицу
313729695,,,"48,3 м²",30 м²,8 м²,,1 раздельный,1 балкон,,Евроремонт,На улицу
313689777,,,33 м²,19 м²,9 м²,,1 совмещенный,1 лоджия,,Косметический,
313492003,,,45 м²,27 м²,7 м²,,1 раздельный,,,Косметический,
313445775,,,35 м²,28 м²,5 м²,"2,8 м","1 совмещенный, 1 раздельный",1 лоджия,,Дизайнерский,На улицу и двор
313423014,,,"61,1 м²",34 м²,8 м²,"2,75 м",1 раздельный,,,Косметический,Во двор
312685160,,,"30,5 м²",18 м²,6 м²,,1 совмещенный,1 балкон,,Евроремонт,Во двор
312673761,,,53 м²,25 м²,9 м²,,1 раздельный,1 балкон,,Косметический,На улицу и двор
312246667,,,46 м²,28 м²,8 м²,,1 совмещенный,1 балкон,,Косметический,Во двор
312195522,,,48 м²,38 м²,7 м²,,1 совмещенный,1 балкон,,Дизайнерский,На улицу
310792342,,,55 м²,"36,5 м²",6 м²,,1 совмещенный,1 балкон,,Косметический,На улицу
310660324,,,53 м²,26 м²,17 м²,,1 раздельный,1 лоджия,,Евроремонт,На улицу
309980505,,,"30,4 м²",20 м²,7 м²,"2,5 м",1 совмещенный,1 балкон,,Косметический,Во двор
308782939,,,42 м²,19 м²,10 м²,"3,2 м",1 раздельный,1 балкон,,Евроремонт,На улицу и двор
305603631,,,48 м²,32 м²,4 м²,,1 совмещенный,1 балкон,,Без ремонта,Во двор
300772703,,,45 м²,34 м²,6 м²,"2,64 м",1 совмещенный,1 балкон,,Евроремонт,Во двор
298970024,,,33 м²,20 м²,7 м²,"2,8 м",1 совмещенный,1 балкон,,Евроремонт,Во двор
295252797,,,"29,2 м²",,,,1 совмещенный,,,Евроремонт,Во двор
294961642,,,45 м²,,7 м²,,,1 лоджия,,Дизайнерский,
294401225,,,25 м²,,,3 м,1 совмещенный,,,Евроремонт,Во двор
288005740,,,52 м²,,7 м²,3 м,1 раздельный,,,Евроремонт,Во двор
287535562,,Апартаменты,23 м²,23 м²,,4 м,,,,Евроремонт,На улицу и двор
284081870,,,45 м²,35 м²,8 м²,,1 раздельный,,,Косметический,Во двор
273115276,,,52 м²,35 м²,8 м²,3 м,1 совмещенный,,,Евроремонт,Во двор
272600208,,,11 м²,7 м²,2 м²,,,,,Косметический,
272591317,,,35 м²,20 м²,8 м²,,,1 балкон,,Евроремонт,Во двор
265122740,,,44 м²,27 м²,6 м²,,1 совмещенный,1 балкон,,Косметический,Во двор
262726424,,,38 м²,18 м²,"7,5 м²",,1 совмещенный,1 балкон,,Косметический,Во двор
252768481,,,43 м²,21 м²,7 м²,,1 совмещенный,1 лоджия,,Евроремонт,Во двор
199570370,,,65 м²,32 м²,7 м²,"3,1 м",1 раздельный,1 балкон,,Косметический,Во двор
166163447,,,35 м²,19 м²,10 м²,"2,7 м",1 раздельный,1 лоджия,,Евроремонт,Во двор
164777045,,,55 м²,37 м²,10 м²,,1 совмещенный,,,Косметический,Во двор
164708200,,,34 м²,21 м²,6 м²,,1 раздельный,,,Косметический,На улицу
162193182,,,50 м²,30 м²,"7,5 м²","2,8 м",1 раздельный,1 лоджия,,Дизайнерский,На улицу
161928651,,,53 м²,33 м²,8 м²,,1 раздельный,1 балкон,,Косметический,Во двор
315928663,,,45 м²,,,,1 совмещенный,,,Евроремонт,Во двор
314717237,,Апартаменты,22 м²,,,,1 совмещенный,,,Евроремонт,На улицу
315523211,,,38 м²,16 м²,10 м²,,1 раздельный,1 лоджия,,Евроремонт,На улицу
315227868,,,39 м²,17 м²,8 м²,"3,4 м",1 совмещенный,,,Евроремонт,На улицу
287756063,,,33 м²,19 м²,10 м²,"2,64 м",1 совмещенный,1 балкон,,Евроремонт,Во двор
198394022,,,46 м²,38 м²,,,1 совмещенный,1 балкон,,Евроремонт,Во двор
314690850,,,15 м²,10 м²,3 м²,3 м,1 совмещенный,,,Дизайнерский,Во двор
315468710,,,"44,4 м²","14,3 м²","8,3 м²",,1 раздельный,,,Косметический,Во двор
315905263,,,50 м²,30 м²,6 м²,"2,5 м",1 раздельный,1 балкон,,Косметический,Во двор
315688974,,,35 м²,18 м²,6 м²,,1 совмещенный,,,Евроремонт,Во двор
182246958,,,68 м²,25 м²,10 м²,"3,2 м",1 раздельный,,,Косметический,
316063232,,,43 м²,20 м²,12 м²,"3,2 м",1 совмещенный,1 лоджия,,,Во двор
316061559,,,34 м²,20 м²,6 м²,3 м,1 совмещенный,1 балкон,,Без ремонта,Во двор
316060615,,,35 м²,20 м²,9 м²,"2,6 м",1 совмещенный,,,,Во двор
316039075,,,"35,5 м²",18 м²,9 м²,"2,5 м",1 раздельный,1 лоджия,,Косметический,Во двор
316031652,,,35 м²,20 м²,9 м²,"2,64 м",1 совмещенный,,,Дизайнерский,Во двор
316027445,,,"35,5 м²",,5 м²,,1 совмещенный,,,Косметический,
316020511,,,55 м²,35 м²,8 м²,,1 раздельный,,,Косметический,На улицу и двор
316016115,,,33 м²,18 м²,6 м²,,1 совмещенный,,,Евроремонт,Во двор
316015200,,,32 м²,18 м²,6 м²,"2,7 м",1 совмещенный,1 балкон,,Дизайнерский,Во двор
316006051,,,45 м²,22 м²,9 м²,"2,95 м",1 раздельный,1 балкон,2,Евроремонт,
316003714,,,"58,7 м²","36,1 м²","9,1 м²",,1 совмещенный,,,Косметический,На улицу
315998815,,,37 м²,20 м²,9 м²,,1 совмещенный,1 лоджия,,Евроремонт,На улицу
315988478,,,"35,5 м²",,,,1 совмещенный,,,Дизайнерский,
315986368,,,33 м²,15 м²,"7,8 м²",,1 совмещенный,,,Дизайнерский,Во двор
315985003,,,"36,3 м²",18 м²,10 м²,,1 совмещенный,,,Евроремонт,На улицу
315982292,,,35 м²,21 м²,7 м²,"2,8 м",1 раздельный,1 балкон,,Косметический,Во двор
315977648,,,43 м²,19 м²,11 м²,,1 совмещенный,1 лоджия,,Евроремонт,Во двор
315963981,,,"49,5 м²",32 м²,7 м²,,1 раздельный,,,Без ремонта,Во двор
315962374,,,45 м²,,10 м²,,1 совмещенный,,,Дизайнерский,Во двор
315960228,,,48 м²,25 м²,"7,5 м²","2,7 м",1 совмещенный,1 лоджия,,Косметический,На улицу и двор
315957488,,,48 м²,,,,1 совмещенный,1 балкон,,Евроремонт,Во двор
315940995,,,32 м²,"18,6 м²",4 м²,,1 совмещенный,1 балкон,,Евроремонт,Во двор
315938837,,,55 м²,30 м²,10 м²,,1 совмещенный,1 лоджия,,Евроремонт,Во двор
315934380,,,43 м²,,9 м²,3 м,1 раздельный,1 балкон,,Евроремонт,Во двор
315933413,,,55 м²,,,,1 совмещенный,,,Евроремонт,Во двор
315916928,,Апартаменты,20 м²,,,,1 совмещенный,,,Евроремонт,На улицу
315915558,,,31 м²,,6 м²,"2,8 м",1 совмещенный,1 лоджия,,Евроремонт,Во двор
315911384,,,"55,6 м²","39,6 м²","10,3 м²","3,2 м",1 совмещенный,,,Косметический,Во двор
315910730,,,42 м²,23 м²,8 м²,,1 совмещенный,1 лоджия,,Косметический,Во двор
315909802,,,20 м²,15 м²,,"2,6 м",1 совмещенный,,,,На улицу
